# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 155600      4.15e-01    3.23e-01      4.98e-03    5.54e-03      2.89e-02    2.23e-02    2.0e-04
 155800      3.15e-01    3.20e-01      4.16e-03    3.51e-03      2.19e-02    2.23e-02    2.0e-04
 156000      3.05e-01    2.77e-01      3.27e-03    5.14e-04      2.12e-02    1.94e-02    2.0e-04
 156200      5.20e-01    3.63e-01      1.25e-03    1.86e-03      3.63e-02    2.53e-02    2.0e-04
 156400      2.08e-01    3.59e-01      9.12e-03    9.13e-03      1.34e-02    2.44e-02    2.0e-04
 156600      3.39e-01    4.22e-01      4.92e-03    4.87e-03      2.35e-02    2.94e-02    2.0e-04
 156800      4.15e-01    3.83e-01      5.46e-03    5.54e-03      2.88e-02    2.66e-02    2.0e-04
 157000      3.90e-01    3.75e-01      2.58e-03    3.24e-03      2.72e-02    2.61e-02    2.0e-04
 157200      3.88e-01    3.98e-01      5.69e-03    6.21e-03      2.69e-02    2.75e-02    2.0e-04
 157400      4.16e-01    4.58e-01      6.11e-03    6.12e-03      2.89e-02    3.18e-02    2.0e-04
 157600      4.16e-01    3.93e-01      4.25e-03    4.13e-03      2.90e-02    2.73e-02    2.0e-04
 157800      4.75e-01    3.46e-01      6.78e-03    5.49e-03      3.29e-02    2.40e-02    2.0e-04
 158000      3.01e-01    3.53e-01      5.71e-04    8.59e-04      2.10e-02    2.47e-02    2.0e-04
 158200      4.34e-01    2.93e-01      1.63e-03    1.73e-03      3.03e-02    2.05e-02    2.0e-04
 158400      3.46e-01    3.04e-01      8.88e-03    8.68e-03      2.36e-02    2.05e-02    2.0e-04
 158600      3.26e-01    3.33e-01      2.70e-04    4.68e-04      2.28e-02    2.33e-02    2.0e-04
 158800      3.04e-01    4.78e-01      2.52e-03    2.79e-03      2.12e-02    3.34e-02    2.0e-04
 159000      2.88e-01    3.31e-01      6.03e-03    6.65e-03      1.98e-02    2.27e-02    2.0e-04
 159200      4.02e-01    3.25e-01      5.85e-03    6.73e-03      2.79e-02    2.23e-02    2.0e-04
 159400      2.59e-01    2.57e-01      5.41e-03    6.70e-03      1.78e-02    1.75e-02    2.0e-04
 159600      4.03e-01    3.09e-01      1.29e-03    4.46e-05      2.81e-02    2.16e-02    2.0e-04
 159800      1.87e-01    3.82e-01      8.76e-03    8.08e-03      1.19e-02    2.63e-02    2.0e-04
 160000      3.41e-01    2.62e-01      2.05e-03    2.64e-03      2.44e-02    1.87e-02    1.9e-04
 160200      3.32e-01    2.24e-01      5.09e-03    5.12e-03      2.36e-02    1.57e-02    1.9e-04
 160400      3.57e-01    3.70e-01      6.79e-03    5.96e-03      2.53e-02    2.63e-02    1.9e-04
 160600      4.10e-01    3.93e-01      7.46e-03    1.04e-02      2.90e-02    2.74e-02    1.9e-04
 160800      3.54e-01    4.67e-01      1.90e-03    1.88e-03      2.53e-02    3.35e-02    1.9e-04
 161000      4.94e-01    4.46e-01      3.22e-03    3.11e-03      3.53e-02    3.20e-02    1.9e-04
 161200      3.95e-01    3.39e-01      4.15e-04    2.58e-03      2.83e-02    2.43e-02    1.9e-04
 161400      1.64e-01    3.83e-01      1.80e-03    1.11e-03      1.17e-02    2.75e-02    1.9e-04
 161600      4.96e-01    2.78e-01      2.57e-03    2.47e-03      3.55e-02    1.99e-02    1.9e-04
 161800      3.22e-01    2.87e-01      7.64e-03    7.07e-03      2.26e-02    2.01e-02    1.9e-04
 162000      3.68e-01    1.85e-01      8.91e-03    8.19e-03      2.58e-02    1.22e-02    1.9e-04
 162200      3.22e-01    3.75e-01      2.23e-03    6.26e-04      2.30e-02    2.69e-02    1.9e-04
 162400      4.93e-01    3.81e-01      2.54e-03    2.14e-03      3.53e-02    2.73e-02    1.9e-04
 162600      3.58e-01    3.70e-01      1.53e-03    2.74e-03      2.57e-02    2.65e-02    1.9e-04
 162800      3.78e-01    3.33e-01      2.25e-03    3.81e-03      2.70e-02    2.38e-02    1.9e-04
 163000      3.93e-01    3.73e-01      5.79e-03    5.13e-03      2.79e-02    2.65e-02    1.9e-04
 163200      4.82e-01    4.37e-01      6.34e-03    5.41e-03      3.43e-02    3.12e-02    1.9e-04
 163400      5.61e-01    4.04e-01      1.87e-03    2.28e-03      4.02e-02    2.89e-02    1.9e-04
 163600      2.11e-01    3.23e-01      2.87e-03    2.56e-03      1.50e-02    2.31e-02    1.9e-04
 163800      3.35e-01    3.11e-01      3.02e-03    3.45e-03      2.39e-02    2.22e-02    1.9e-04
 164000      3.61e-01    3.53e-01      3.05e-03    2.31e-03      2.58e-02    2.53e-02    1.9e-04
 164200      3.96e-01    2.95e-01      5.86e-03    6.64e-03      2.82e-02    2.07e-02    1.9e-04
 164400      3.67e-01    4.21e-01      7.96e-03    7.86e-03      2.58e-02    2.98e-02    1.9e-04
 164600      7.68e-01    4.87e-01      1.33e-02    1.11e-02      5.44e-02    3.42e-02    1.9e-04
 164800      6.28e-01    2.98e-01      8.59e-03    9.98e-03      4.47e-02    2.04e-02    1.9e-04
 165000      2.97e-01    2.48e-01      3.18e-03    3.13e-03      2.18e-02    1.82e-02    1.8e-04
 165200      3.96e-01    3.89e-01      1.04e-02    1.06e-02      2.83e-02    2.78e-02    1.8e-04
 165400      3.25e-01    5.17e-01      5.94e-04    9.18e-04      2.39e-02    3.80e-02    1.8e-04
 165600      2.89e-01    2.99e-01      1.20e-03    1.98e-03      2.13e-02    2.19e-02    1.8e-04
 165800      3.55e-01    4.24e-01      3.41e-03    3.30e-03      2.61e-02    3.11e-02    1.8e-04
 166000      3.14e-01    2.71e-01      1.84e-03    1.41e-03      2.31e-02    1.99e-02    1.8e-04
 166200      3.91e-01    3.56e-01      1.64e-03    8.30e-04      2.87e-02    2.62e-02    1.8e-04
 166400      4.36e-01    3.21e-01      3.22e-03    1.24e-03      3.20e-02    2.36e-02    1.8e-04
 166600      3.92e-01    3.71e-01      1.57e-03    1.38e-03      2.88e-02    2.73e-02    1.8e-04
 166800      4.29e-01    3.83e-01      2.98e-03    1.68e-03      3.15e-02    2.82e-02    1.8e-04
 167000      3.61e-01    4.92e-01      1.17e-02    1.07e-02      2.54e-02    3.55e-02    1.8e-04
 167200      3.70e-01    3.71e-01      8.06e-03    8.65e-03      2.67e-02    2.67e-02    1.8e-04
 167400      3.17e-01    3.48e-01      6.75e-03    6.76e-03      2.29e-02    2.52e-02    1.8e-04
 167600      3.24e-01    3.57e-01      7.65e-05    2.39e-03      2.39e-02    2.62e-02    1.8e-04
 167800      4.40e-01    3.37e-01      3.23e-03    2.48e-03      3.23e-02    2.48e-02    1.8e-04
 168000      3.04e-01    3.57e-01      7.33e-03    6.87e-03      2.19e-02    2.58e-02    1.8e-04
 168200      1.63e-01    2.56e-01      3.88e-03    3.96e-03      1.17e-02    1.86e-02    1.8e-04
 168400      3.92e-01    3.23e-01      4.94e-03    5.17e-03      2.86e-02    2.35e-02    1.8e-04
 168600      3.95e-01    3.24e-01      1.00e-02    9.44e-03      2.83e-02    2.30e-02    1.8e-04
 168800      3.93e-01    4.23e-01      8.50e-03    7.52e-03      2.83e-02    3.07e-02    1.8e-04
 169000      3.25e-01    2.52e-01      3.44e-03    5.73e-03      2.38e-02    1.82e-02    1.8e-04
 169200      3.14e-01    2.69e-01      9.86e-04    1.79e-03      2.31e-02    1.97e-02    1.8e-04
 169400      3.04e-01    3.01e-01      3.39e-03    2.48e-03      2.22e-02    2.21e-02    1.8e-04
 169600      3.88e-01    2.77e-01      5.52e-03    6.18e-03      2.83e-02    2.00e-02    1.8e-04
 169800      3.61e-01    2.09e-01      3.29e-03    2.85e-03      2.65e-02    1.53e-02    1.8e-04
 170000      3.73e-01    4.79e-01      1.79e-03    1.96e-03      2.81e-02    3.62e-02    1.7e-04
 170200      3.42e-01    2.67e-01      7.17e-03    4.85e-03      2.53e-02    1.99e-02    1.7e-04
 170400      3.77e-01    3.02e-01      1.05e-02    1.00e-02      2.75e-02    2.17e-02    1.7e-04
 170600      3.79e-01    3.32e-01      1.46e-03    8.76e-04      2.86e-02    2.51e-02    1.7e-04
 170800      3.78e-01    2.92e-01      4.79e-03    3.35e-03      2.83e-02    2.19e-02    1.7e-04
 171000      4.78e-01    1.85e-01      2.94e-03    3.16e-03      3.60e-02    1.38e-02    1.7e-04
 171200      4.15e-01    2.99e-01      6.02e-04    4.88e-04      3.13e-02    2.26e-02    1.7e-04
 171400      3.40e-01    4.15e-01      2.05e-03    3.36e-03      2.56e-02    3.12e-02    1.7e-04
 171600      2.59e-01    2.83e-01      8.74e-03    9.61e-03      1.86e-02    2.04e-02    1.7e-04
 171800      3.64e-01    3.93e-01      3.31e-04    1.11e-03      2.75e-02    2.97e-02    1.7e-04
 172000      3.57e-01    4.57e-01      1.35e-03    1.04e-03      2.69e-02    3.45e-02    1.7e-04
 172200      2.44e-01    2.72e-01      3.14e-03    4.30e-03      1.83e-02    2.03e-02    1.7e-04
 172400      2.97e-01    2.38e-01      4.18e-04    9.99e-04      2.24e-02    1.79e-02    1.7e-04
 172600      2.83e-01    4.12e-01      7.78e-04    5.17e-04      2.13e-02    3.11e-02    1.7e-04
 172800      3.96e-01    3.59e-01      3.70e-03    4.52e-03      2.98e-02    2.69e-02    1.7e-04
 173000      2.83e-01    1.49e-01      1.40e-03    6.86e-04      2.13e-02    1.12e-02    1.7e-04
 173200      2.58e-01    4.09e-01      4.50e-03    4.27e-03      1.92e-02    3.07e-02    1.7e-04
 173400      3.60e-01    3.37e-01      7.55e-04    1.43e-03      2.72e-02    2.54e-02    1.7e-04
 173600      2.13e-01    3.25e-01      2.73e-03    2.13e-03      1.60e-02    2.45e-02    1.7e-04
 173800      3.08e-01    3.86e-01      3.61e-04    6.94e-04      2.32e-02    2.91e-02    1.7e-04
 174000      3.90e-01    3.34e-01      7.09e-04    2.80e-04      2.94e-02    2.52e-02    1.7e-04
 174200      5.52e-01    3.20e-01      8.55e-03    7.29e-03      4.12e-02    2.36e-02    1.7e-04
 174400      4.97e-01    3.39e-01      1.87e-03    6.81e-04      3.75e-02    2.56e-02    1.7e-04
 174600      3.12e-01    3.28e-01      2.77e-04    6.48e-04      2.36e-02    2.47e-02    1.7e-04
 174800      3.56e-01    4.36e-01      1.21e-03    8.51e-04      2.68e-02    3.29e-02    1.7e-04
 175000      3.49e-01    3.12e-01      1.74e-03    1.41e-03      2.70e-02    2.41e-02    1.7e-04
 175200      4.06e-01    3.01e-01      1.13e-03    2.10e-04      3.14e-02    2.33e-02    1.7e-04
 175400      2.98e-01    3.26e-01      4.48e-03    3.84e-03      2.29e-02    2.51e-02    1.7e-04
 175600      2.55e-01    3.39e-01      9.12e-04    1.21e-03      1.97e-02    2.63e-02    1.7e-04
 175800      3.62e-01    3.89e-01      1.91e-03    1.90e-03      2.80e-02    3.01e-02    1.7e-04
 176000      3.13e-01    4.03e-01      1.60e-03    2.94e-03      2.42e-02    3.11e-02    1.7e-04
 176200      3.76e-01    5.17e-01      2.64e-04    7.31e-04      2.91e-02    4.00e-02    1.7e-04
 176400      2.52e-01    3.18e-01      1.70e-03    2.66e-03      1.95e-02    2.46e-02    1.7e-04
 176600      4.58e-01    3.72e-01      2.26e-03    2.13e-03      3.54e-02    2.87e-02    1.7e-04
 176800      3.73e-01    3.05e-01      3.80e-03    4.25e-03      2.87e-02    2.34e-02    1.7e-04
 177000      3.57e-01    3.97e-01      4.88e-04    5.07e-04      2.77e-02    3.07e-02    1.7e-04
 177200      1.73e-01    3.38e-01      4.66e-03    4.77e-03      1.30e-02    2.59e-02    1.7e-04
 177400      3.66e-01    3.53e-01      5.71e-03    5.15e-03      2.80e-02    2.71e-02    1.7e-04
 177600      2.86e-01    3.44e-01      2.11e-03    8.09e-05      2.21e-02    2.66e-02    1.7e-04
 177800      3.43e-01    2.09e-01      5.93e-03    4.95e-03      2.62e-02    1.58e-02    1.7e-04
 178000      3.05e-01    3.15e-01      8.29e-03    8.41e-03      2.28e-02    2.36e-02    1.7e-04
 178200      4.51e-01    3.29e-01      1.23e-03    1.23e-03      3.49e-02    2.54e-02    1.7e-04
 178400      4.51e-01    3.62e-01      1.00e-02    9.18e-03      3.42e-02    2.73e-02    1.7e-04
 178600      3.11e-01    2.84e-01      1.67e-03    1.56e-03      2.41e-02    2.20e-02    1.7e-04
 178800      2.76e-01    3.53e-01      1.17e-04    1.84e-03      2.14e-02    2.73e-02    1.7e-04
 179000      3.56e-01    2.77e-01      7.04e-03    6.93e-03      2.71e-02    2.09e-02    1.7e-04
 179200      3.58e-01    4.05e-01      1.44e-03    4.85e-04      2.77e-02    3.14e-02    1.7e-04
 179400      3.50e-01    3.60e-01      4.41e-04    2.18e-04      2.71e-02    2.78e-02    1.7e-04
 179600      5.19e-01    4.68e-01      5.98e-03    6.90e-03      3.99e-02    3.59e-02    1.7e-04
 179800      4.43e-01    3.04e-01      9.37e-03    7.88e-03      3.36e-02    2.29e-02    1.7e-04
 180000      3.82e-01    3.00e-01      1.24e-03    2.48e-03      3.03e-02    2.38e-02    1.6e-04
 180200      4.30e-01    4.03e-01      5.59e-03    6.05e-03      3.39e-02    3.17e-02    1.6e-04
 180400      4.48e-01    3.53e-01      6.42e-03    6.64e-03      3.53e-02    2.76e-02    1.6e-04
 180600      2.92e-01    3.01e-01      2.62e-04    7.54e-04      2.32e-02    2.39e-02    1.6e-04
 180800      3.68e-01    2.50e-01      2.92e-03    1.66e-03      2.92e-02    1.98e-02    1.6e-04
 181000      3.27e-01    3.36e-01      2.28e-03    1.22e-03      2.60e-02    2.67e-02    1.6e-04
 181200      3.49e-01    2.58e-01      5.08e-03    4.30e-03      2.74e-02    2.03e-02    1.6e-04
 181400      3.08e-01    3.94e-01      5.18e-03    3.66e-03      2.42e-02    3.12e-02    1.6e-04
 181600      3.17e-01    3.33e-01      1.24e-03    8.77e-04      2.52e-02    2.65e-02    1.6e-04
 181800      4.02e-01    2.69e-01      3.04e-03    1.44e-03      3.18e-02    2.14e-02    1.6e-04
 182000      3.20e-01    2.94e-01      7.05e-03    4.88e-03      2.49e-02    2.31e-02    1.6e-04
 182200      2.36e-01    3.15e-01      2.85e-04    1.62e-03      1.87e-02    2.50e-02    1.6e-04
 182400      4.13e-01    3.22e-01      3.79e-03    2.37e-03      3.26e-02    2.55e-02    1.6e-04
 182600      1.48e-01    3.43e-01      4.30e-04    8.68e-04      1.18e-02    2.72e-02    1.6e-04
 182800      3.72e-01    3.10e-01      4.89e-04    1.67e-03      2.96e-02    2.46e-02    1.6e-04
 183000      3.89e-01    3.22e-01      1.03e-03    1.12e-03      3.09e-02    2.56e-02    1.6e-04
 183200      4.62e-01    3.16e-01      5.38e-03    5.34e-03      3.65e-02    2.48e-02    1.6e-04
 183400      2.56e-01    3.25e-01      6.54e-03    6.03e-03      1.98e-02    2.54e-02    1.6e-04
 183600      3.43e-01    3.78e-01      1.18e-03    7.22e-04      2.72e-02    3.00e-02    1.6e-04
 183800      3.76e-01    3.46e-01      6.90e-03    7.26e-03      2.94e-02    2.70e-02    1.6e-04
 184000      3.44e-01    3.03e-01      2.85e-03    3.01e-03      2.73e-02    2.40e-02    1.6e-04
 184200      2.75e-01    2.84e-01      8.18e-04    5.88e-05      2.19e-02    2.25e-02    1.6e-04
 184400      3.17e-01    3.53e-01      4.00e-03    3.43e-03      2.50e-02    2.79e-02    1.6e-04
 184600      4.02e-01    3.90e-01      1.88e-03    1.82e-03      3.19e-02    3.09e-02    1.6e-04
 184800      3.37e-01    2.88e-01      3.57e-03    4.59e-03      2.66e-02    2.26e-02    1.6e-04
 185000      3.39e-01    3.08e-01      7.89e-03    7.45e-03      2.69e-02    2.44e-02    1.5e-04
 185200      2.84e-01    3.14e-01      1.75e-03    1.90e-03      2.31e-02    2.55e-02    1.5e-04
 185400      2.07e-01    3.48e-01      2.41e-03    3.87e-03      1.68e-02    2.82e-02    1.5e-04
 185600      2.47e-01    1.29e-01      8.50e-04    1.36e-03      2.01e-02    1.05e-02    1.5e-04
 185800      3.76e-01    3.30e-01      3.40e-03    3.80e-03      3.05e-02    2.67e-02    1.5e-04
 186000      2.64e-01    2.63e-01      2.61e-03    1.76e-03      2.15e-02    2.14e-02    1.5e-04
 186200      2.48e-01    3.05e-01      3.38e-03    5.64e-03      2.00e-02    2.45e-02    1.5e-04
 186400      3.12e-01    2.26e-01      5.71e-03    5.53e-03      2.51e-02    1.79e-02    1.5e-04
 186600      2.69e-01    2.94e-01      3.62e-03    4.10e-03      2.18e-02    2.38e-02    1.5e-04
 186800      3.78e-01    2.76e-01      7.21e-03    6.75e-03      3.03e-02    2.19e-02    1.5e-04
 187000      2.39e-01    3.73e-01      1.20e-04    5.85e-04      1.95e-02    3.04e-02    1.5e-04
 187200      2.97e-01    2.98e-01      1.31e-03    6.70e-04      2.42e-02    2.43e-02    1.5e-04
 187400      3.39e-01    3.06e-01      3.61e-04    9.21e-04      2.77e-02    2.50e-02    1.5e-04
 187600      4.32e-01    3.24e-01      7.30e-03    8.15e-03      3.48e-02    2.57e-02    1.5e-04
 187800      4.25e-01    3.68e-01      4.32e-03    3.89e-03      3.45e-02    2.98e-02    1.5e-04
 188000      3.10e-01    2.34e-01      2.21e-04    1.35e-03      2.53e-02    1.90e-02    1.5e-04
 188200      2.33e-01    3.21e-01      2.73e-04    4.74e-04      1.90e-02    2.61e-02    1.5e-04
 188400      2.49e-01    2.64e-01      7.70e-03    7.84e-03      1.95e-02    2.07e-02    1.5e-04
 188600      3.46e-01    1.68e-01      4.01e-03    4.04e-03      2.80e-02    1.34e-02    1.5e-04
 188800      3.62e-01    3.48e-01      4.04e-03    3.69e-03      2.93e-02    2.82e-02    1.5e-04
 189000      2.68e-01    2.51e-01      1.98e-03    1.92e-03      2.18e-02    2.04e-02    1.5e-04
 189200      4.52e-01    3.32e-01      6.15e-03    5.89e-03      3.65e-02    2.67e-02    1.5e-04
 189400      2.96e-01    2.80e-01      2.49e-03    1.75e-03      2.41e-02    2.28e-02    1.5e-04
 189600      3.50e-01    2.51e-01      1.42e-03    9.90e-04      2.85e-02    2.04e-02    1.5e-04
 189800      3.71e-01    3.14e-01      6.41e-03    5.73e-03      2.98e-02    2.52e-02    1.5e-04
 190000      1.95e-01    2.95e-01      8.96e-03    7.51e-03      1.48e-02    2.39e-02    1.4e-04
 190200      3.14e-01    2.38e-01      3.89e-03    2.17e-03      2.61e-02    1.98e-02    1.4e-04
 190400      2.80e-01    3.24e-01      1.60e-03    7.69e-04      2.33e-02    2.70e-02    1.4e-04
 190600      4.32e-01    2.06e-01      7.60e-03    6.22e-03      3.56e-02    1.66e-02    1.4e-04
 190800      4.23e-01    2.62e-01      3.10e-03    3.37e-03      3.53e-02    2.18e-02    1.4e-04
 191000      3.41e-01    2.73e-01      5.56e-03    5.39e-03      2.82e-02    2.25e-02    1.4e-04
 191200      3.55e-01    3.25e-01      1.38e-03    1.16e-03      2.96e-02    2.71e-02    1.4e-04
 191400      4.76e-01    2.74e-01      1.46e-03    2.32e-03      3.97e-02    2.28e-02    1.4e-04
 191600      3.22e-01    3.10e-01      1.16e-03    2.00e-05      2.69e-02    2.59e-02    1.4e-04
 191800      3.04e-01    2.67e-01      5.48e-03    5.21e-03      2.50e-02    2.20e-02    1.4e-04
 192000      3.07e-01    2.44e-01      4.26e-04    4.26e-04      2.56e-02    2.04e-02    1.4e-04
 192200      3.35e-01    2.90e-01      1.30e-03    1.24e-03      2.79e-02    2.43e-02    1.4e-04
 192400      2.81e-01    2.94e-01      9.92e-03    9.24e-03      2.22e-02    2.35e-02    1.4e-04
 192600      3.43e-01    1.35e-01      1.97e-03    1.46e-03      2.86e-02    1.12e-02    1.4e-04
 192800      2.81e-01    2.78e-01      6.03e-03    5.15e-03      2.30e-02    2.29e-02    1.4e-04
 193000      4.43e-01    2.47e-01      2.18e-03    2.28e-03      3.70e-02    2.05e-02    1.4e-04
 193200      2.32e-01    1.62e-01      7.38e-03    7.08e-03      1.86e-02    1.24e-02    1.4e-04
 193400      2.34e-01    4.44e-01      2.12e-03    2.92e-03      1.95e-02    3.70e-02    1.4e-04
 193600      3.16e-01    3.63e-01      2.00e-03    2.91e-03      2.63e-02    3.03e-02    1.4e-04
 193800      2.78e-01    3.57e-01      2.44e-05    7.71e-06      2.32e-02    2.98e-02    1.4e-04
 194000      2.74e-01    3.55e-01      9.56e-03    9.11e-03      2.17e-02    2.88e-02    1.4e-04
 194200      1.71e-01    3.03e-01      4.42e-03    4.31e-03      1.38e-02    2.51e-02    1.4e-04
 194400      3.09e-01    2.93e-01      2.48e-03    2.12e-03      2.57e-02    2.44e-02    1.4e-04
 194600      1.96e-01    3.32e-01      2.08e-03    1.68e-03      1.63e-02    2.77e-02    1.4e-04
 194800      2.81e-01    2.62e-01      1.99e-03    2.22e-03      2.35e-02    2.18e-02    1.4e-04
 195000      1.73e-01    3.28e-01      9.44e-03    7.70e-03      1.28e-02    2.75e-02    1.4e-04
 195200      2.88e-01    1.32e-01      2.61e-03    2.30e-03      2.46e-02    1.12e-02    1.4e-04
 195400      2.34e-01    1.95e-01      4.42e-03    2.00e-03      1.97e-02    1.66e-02    1.4e-04
 195600      2.39e-01    2.93e-01      7.73e-03    7.36e-03      1.96e-02    2.44e-02    1.4e-04
 195800      3.22e-01    2.00e-01      3.94e-03    3.94e-03      2.74e-02    1.69e-02    1.4e-04
 196000      2.43e-01    3.40e-01      4.33e-03    2.43e-03      2.05e-02    2.91e-02    1.4e-04
 196200      2.52e-01    2.28e-01      8.02e-04    1.70e-03      2.16e-02    1.95e-02    1.4e-04
 196400      3.01e-01    3.09e-01      1.14e-03    9.76e-04      2.58e-02    2.65e-02    1.4e-04
 196600      2.40e-01    2.77e-01      5.59e-03    5.77e-03      2.01e-02    2.33e-02    1.4e-04
 196800      3.55e-01    1.51e-01      1.05e-03    3.71e-04      3.05e-02    1.29e-02    1.4e-04
 197000      3.77e-01    3.72e-01      3.43e-03    3.37e-03      3.22e-02    3.18e-02    1.4e-04
 197200      2.78e-01    4.68e-01      3.14e-03    3.52e-03      2.37e-02    4.00e-02    1.4e-04
 197400      3.09e-01    3.01e-01      2.07e-03    1.02e-03      2.65e-02    2.58e-02    1.4e-04
 197600      2.45e-01    2.79e-01      9.54e-04    8.18e-04      2.10e-02    2.39e-02    1.4e-04
 197800      3.82e-01    3.04e-01      2.33e-03    1.75e-03      3.27e-02    2.61e-02    1.4e-04
 198000      2.50e-01    2.50e-01      1.20e-03    3.45e-03      2.14e-02    2.12e-02    1.4e-04
 198200      2.60e-01    1.88e-01      1.52e-03    1.53e-03      2.22e-02    1.61e-02    1.4e-04
 198400      2.57e-01    2.60e-01      1.71e-03    2.02e-03      2.20e-02    2.23e-02    1.4e-04
 198600      3.01e-01    2.90e-01      5.89e-03    5.40e-03      2.53e-02    2.45e-02    1.4e-04
 198800      3.89e-01    2.93e-01      1.80e-03    2.55e-03      3.33e-02    2.50e-02    1.4e-04
 199000      2.82e-01    2.47e-01      3.05e-03    2.30e-03      2.40e-02    2.11e-02    1.4e-04
 199200      3.41e-01    4.31e-01      5.41e-03    5.33e-03      2.89e-02    3.67e-02    1.4e-04
 199400      3.04e-01    2.34e-01      5.05e-03    4.74e-03      2.58e-02    1.97e-02    1.4e-04
 199600      3.32e-01    3.55e-01      1.61e-04    2.18e-03      2.85e-02    3.04e-02    1.4e-04
 199800      2.27e-01    3.11e-01      1.01e-02    6.80e-03      1.78e-02    2.62e-02    1.4e-04
 200000      4.41e-01    2.36e-01      3.52e-03    3.37e-03      3.87e-02    2.06e-02    1.3e-04
 200200      2.55e-01    3.20e-01      2.55e-03    2.21e-03      2.23e-02    2.81e-02    1.3e-04
 200400      3.26e-01    2.36e-01      2.06e-03    2.11e-03      2.87e-02    2.07e-02    1.3e-04
 200600      2.70e-01    2.73e-01      8.49e-03    5.86e-03      2.27e-02    2.35e-02    1.3e-04
 200800      2.88e-01    3.07e-01      1.23e-03    1.71e-03      2.53e-02    2.69e-02    1.3e-04
 201000      2.32e-01    2.34e-01      1.61e-03    2.00e-03      2.04e-02    2.05e-02    1.3e-04
 201200      3.56e-01    2.49e-01      1.41e-02    1.26e-02      2.91e-02    1.94e-02    1.3e-04
 201400      3.71e-01    2.37e-01      5.47e-03    6.67e-03      3.23e-02    2.01e-02    1.3e-04
 201600      3.02e-01    3.00e-01      3.96e-03    4.25e-03      2.63e-02    2.62e-02    1.3e-04
 201800      2.12e-01    2.30e-01      2.06e-03    1.77e-03      1.86e-02    2.02e-02    1.3e-04
 202000      3.04e-01    4.05e-01      3.81e-04    3.01e-03      2.67e-02    3.55e-02    1.3e-04
 202200      2.96e-01    2.93e-01      1.31e-03    1.01e-03      2.60e-02    2.58e-02    1.3e-04
 202400      3.14e-01    1.82e-01      4.10e-03    4.90e-03      2.74e-02    1.55e-02    1.3e-04
 202600      3.38e-01    2.70e-01      6.74e-03    5.79e-03      2.92e-02    2.33e-02    1.3e-04
 202800      2.96e-01    2.24e-01      5.45e-03    5.36e-03      2.57e-02    1.92e-02    1.3e-04
 203000      3.34e-01    2.53e-01      1.98e-03    2.04e-03      2.93e-02    2.22e-02    1.3e-04
 203200      1.80e-01    3.13e-01      1.45e-03    3.13e-03      1.58e-02    2.74e-02    1.3e-04
 203400      2.33e-01    3.43e-01      6.81e-03    4.91e-03      1.97e-02    2.99e-02    1.3e-04
 203600      2.85e-01    2.85e-01      6.62e-05    2.23e-04      2.51e-02    2.51e-02    1.3e-04
 203800      2.97e-01    3.34e-01      1.75e-03    2.32e-03      2.61e-02    2.93e-02    1.3e-04
 204000      2.36e-01    3.73e-01      4.48e-03    3.93e-03      2.05e-02    3.26e-02    1.3e-04
 204200      1.67e-01    2.57e-01      5.50e-03    5.79e-03      1.40e-02    2.21e-02    1.3e-04
 204400      2.22e-01    2.50e-01      9.60e-04    1.37e-03      1.95e-02    2.20e-02    1.3e-04
 204600      2.58e-01    3.07e-01      6.64e-03    6.29e-03      2.20e-02    2.65e-02    1.3e-04
 204800      3.16e-01    2.38e-01      9.48e-04    9.81e-04      2.78e-02    2.09e-02    1.3e-04
 205000      2.88e-01    2.50e-01      5.65e-03    3.74e-03      2.55e-02    2.24e-02    1.2e-04
 205200      3.71e-01    2.72e-01      4.54e-03    2.80e-03      3.33e-02    2.45e-02    1.2e-04
 205400      2.65e-01    2.88e-01      1.10e-03    5.89e-04      2.39e-02    2.60e-02    1.2e-04
 205600      3.17e-01    2.55e-01      2.49e-03    2.99e-03      2.85e-02    2.29e-02    1.2e-04
 205800      2.61e-01    2.65e-01      9.50e-03    7.66e-03      2.21e-02    2.31e-02    1.2e-04
 206000      3.73e-01    2.11e-01      8.27e-04    1.73e-03      3.36e-02    1.89e-02    1.2e-04
 206200      1.08e-01    4.54e-01      2.64e-03    4.63e-03      9.48e-03    4.08e-02    1.2e-04
 206400      1.96e-01    2.53e-01      1.59e-03    2.10e-03      1.76e-02    2.27e-02    1.2e-04
 206600      3.49e-01    2.82e-01      6.02e-04    2.38e-04      3.14e-02    2.54e-02    1.2e-04
 206800      3.13e-01    3.66e-01      2.31e-03    1.69e-03      2.82e-02    3.30e-02    1.2e-04
 207000      2.19e-01    2.50e-01      2.74e-03    2.74e-03      1.96e-02    2.25e-02    1.2e-04
 207200      3.01e-01    2.64e-01      2.44e-03    2.22e-03      2.70e-02    2.37e-02    1.2e-04
 207400      2.77e-01    2.13e-01      3.10e-03    2.97e-03      2.48e-02    1.90e-02    1.2e-04
 207600      2.43e-01    3.36e-01      5.46e-04    1.39e-04      2.19e-02    3.03e-02    1.2e-04
 207800      1.60e-01    2.41e-01      2.63e-03    2.87e-03      1.43e-02    2.16e-02    1.2e-04
