# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  11600      2.24e+00    1.86e+00      1.71e-02    1.67e-02      7.44e-02    6.18e-02    9.0e-04
  11800      2.15e+00    1.78e+00      2.81e-02    2.98e-02      7.15e-02    5.90e-02    9.0e-04
  12000      2.08e+00    2.01e+00      1.11e-02    1.04e-02      6.92e-02    6.68e-02    9.0e-04
  12200      2.07e+00    2.09e+00      1.82e-02    1.54e-02      6.90e-02    6.94e-02    9.0e-04
  12400      1.58e+00    2.75e+00      1.74e-02    1.41e-02      5.25e-02    9.15e-02    9.0e-04
  12600      1.69e+00    1.98e+00      1.41e-02    1.24e-02      5.63e-02    6.60e-02    9.0e-04
  12800      1.73e+00    2.20e+00      1.14e-02    1.95e-02      5.77e-02    7.32e-02    9.0e-04
  13000      1.75e+00    2.53e+00      1.19e-01    1.20e-01      5.66e-02    8.31e-02    9.0e-04
  13200      1.91e+00    1.69e+00      1.26e-02    1.24e-02      6.35e-02    5.61e-02    9.0e-04
  13400      2.23e+00    1.21e+00      2.76e-02    2.68e-02      7.42e-02    4.03e-02    9.0e-04
  13600      1.93e+00    2.06e+00      2.13e-02    2.05e-02      6.42e-02    6.87e-02    9.0e-04
  13800      1.58e+00    1.83e+00      8.71e-03    1.17e-02      5.27e-02    6.08e-02    9.0e-04
  14000      1.71e+00    2.10e+00      1.25e-02    1.32e-02      5.68e-02    6.98e-02    9.0e-04
  14200      2.06e+00    1.64e+00      7.29e-03    5.30e-03      6.86e-02    5.46e-02    9.0e-04
  14400      2.30e+00    2.57e+00      7.49e-03    1.04e-02      7.67e-02    8.55e-02    9.0e-04
  14600      2.06e+00    1.86e+00      1.53e-02    1.68e-02      6.85e-02    6.20e-02    9.0e-04
  14800      1.88e+00    2.18e+00      4.96e-02    4.74e-02      6.23e-02    7.23e-02    9.0e-04
  15000      2.32e+00    1.99e+00      8.04e-02    7.80e-02      7.84e-02    6.72e-02    8.6e-04
  15200      1.47e+00    1.41e+00      4.87e-03    1.13e-03      5.03e-02    4.83e-02    8.6e-04
  15400      9.73e-01    1.60e+00      4.44e-02    4.42e-02      3.27e-02    5.43e-02    8.6e-04
  15600      1.95e+00    1.96e+00      4.59e-02    4.17e-02      6.62e-02    6.67e-02    8.6e-04
  15800      2.67e+00    2.18e+00      9.94e-02    1.02e-01      9.01e-02    7.31e-02    8.6e-04
  16000      1.08e+00    2.15e+00      1.38e-02    1.16e-02      3.69e-02    7.35e-02    8.6e-04
  16200      1.55e+00    1.68e+00      1.34e-02    1.54e-02      5.29e-02    5.73e-02    8.6e-04
